strategy text;item
Hacer una revisión y propuesta de mejoría en mis funciones;1
Preguntar a mis superiores si tienen más trabajo para mi;1
Intentaría buscar otro lugar de trabajo más motivador;1
Cuidar los detalles ;1
Ayudar a otros colegas ;1
Actividades nuevas en innovadoras;1
Trabajar con la mayor calidad posible aunque no me sea exigido;1
"Analizar y determinar la imagen que me gustaría tener de mi lugar de trabajo, como consumidor, en cuanto a servicios y cosas que me puedan hacer volver..";1
Explicar que soy muy joven para acomodarme y que tengo ambición para progresar. Que quiero cobrar más y para ello tengo que dar algo a cambio.;1
Trabajar más en horarios distintos al resto para llamar la atención.;1
Hablar con mi jefe (si es que tengo) para ver si me podría encargar hacer otras cosas.;1
Buscar y ejecutar oportunidades de entrenamiento en areas relacionadas al negocio;1
Buscar retos;1
Proponer herramientas nuevas que puedan mejorar mi rendimiento.;1
Tratar de hacer más notas periodísticas.;1
Buscar nuevas formas de hacer gráficos visualmente mas estéticos ;1
Identificar si hay otro puesto más gratificante en la misma compañía que trabajo;1
Ayudar en otros sectores de la compañia aparte del mio;1
Proponer nuevas ideas de cosas que podria hacer para hacerlo mas intersante;1
"Lo primero que haría sería hablar con mi jefatura, para comentarle la situación, y ver si puedo abordar algún desafío que me permita solucionar el problema. ";1
Intentar que se hagan las cosas de una manera más fácil para el beneficio de ambos de la empresa y de mí mismo.;1
Examinar los procesos de fabricación ;1
"cambiar el ambiente de trabajo, sea el lugar, las cosas o las dinámicas de como re4alizó mi trabajo";1
pedirle mas responsabilidades a mi superior;1
"Pediría buscar alguna actividad en la que pudiera aportar algo a la empresa, aunque no sea de mi área ";1
Buscar nuevas actividades en el trabajo;1
Ir donde mi jefe y preguntarle si tiene algun otro tema que podria tomar que sea mas exigente.;1
Buscar problemas en la empresa para poder solucionar.;1
Me he puesto metas mas dificiles de alcanzar;1
"Hablaría con mi jefe, me llevo bien con él y no creo que tuviera problema en ayudarme";1
Ir mas alla de lo ordinario.;1
"Trataría de buscar ocupar el tiempo de una mejor manera, sin descuidar el trabajo";1
Seguir formándome y aprendiendo para optimizar el tiempo de trabajo siendo más resolutivo y eficiente.;1
Mejorar mis conocimientos para poder aspirar a un puesto superior;1
"Estudiar. Aunque pueda ser una mala racha en el trabajo no significa que siempre estará así, en ocasiones puede regresar la exigencia y el estar inmóvil hará que olvide mis estudios.";1
Hablar con mi manager ha ver si puedo tomar más responsabilidades y con ellas más pago. ;1
Dar ideas nuevas y realistas sobre le mejora de procesos dentro de mi trabajo.;1
"He ordenado organizar la sala de recepción de mercancías para conseguir ganar el mayor espacio posible y esté lo más limpia que se pueda, dictando al personal de limpieza con que frecuencia había que limpiar y todo aquello que era conveniente tirar a la basura.";1
"Solicitar a mi supervisor el poder cargar con mas responsabilidad y poder aligerar su carga de trabajo delgando actividades a mi, esta es una estrategia que yo he usado y me ha resultado util.";1
Hablar con mi jefe;1
"Me he buscado retos, como proponerme ordenar todo lo que hay en la oficina.";1
Hablar con mi jefe para que me asigne más responsabilidades o nuevas tareas.;1
Directamente hablaría con mi jefe y le diria que estoy interesada en tomar más responsabilidades. Esto para hacer mi trabajo con mayor carga y sentirme mejor.;1
Buscar Oportunidades de Mejora Fisicas de Ordenamiento en Mi Area. ;1
"Hablarlo con mi superior, ver si me puede asignar otras tareas";1
Intentar coger más faenas;1
TRatar de negociar con mi supervisor y demostrar que puedo realizar otras tareas más importantes;1
Buscar proyectos más interesantes donde pueda utilizar mis habilidades;1
Enfocarme en otras áreas de oportunidad ;1
asumir mas responsabilidades;1
Lo primero hablaría con mi jefe para comentarle la situación y tratar de exponer la poca exigencia;1
implementar nuevas ideas para hacer el trabajo mas eficientemente ;1
Intentar reordenar mi ambiente de trabajo para ser más eficiente y adelantar otras labores ;1
"Trataría de visualizar el impacto que me gustaría que mi trabajo tuviera, y después realizaría un plan de acción encaminado a cumplir con esa expectativa.";1
Buscar un nuevo proyecto ;1
Cambio de funciones o responsabilidades ;1
implementar algun tipo de competicion entre pares para hacerlo mas dinamico y mas divertido;1
Me pondria nuevas metas o retos para superarme.;1
intentar optimizar los procesos de trabajo;1
Invertir tiempo en formarme en alguna disciplina de mi agrado;1
buscar alguna ocupación o trabajo en paralelo para cubrir los huecos temporales que deja el trabajo principal.;1
leer libros relevantes para ser mas efectivo en mi trabajo;1
Buscar formas de ser más eficiente;1
Flexibilizar mi horario de trabajo;1
Hablar con mis jefes;1
Proponer realizar más tareas a mi jefe;1
Realizar con mayor eficacia las tareas;1
Haría cursos de formación relacionadas con mi trabajo para poder mejorar mis habilidades;1
hablar con mi superior para que me asigne nuevos roles;1
Hablaría también con mis compañeros para ver si soy el único que está disconforme. Tanto ésta estrategia como la anterior son indispensables para no encontrar obstáculos o fuerzas opuestas a la hora de intentar mejorar la situación;1
"Hacer una valoración de las necesidades de la empresa, jerarquizarlas y ver de cuales me puedo ocupar por mi cuenta. ";1
preguntar a compañeros si puedo ayudarles en alguna tarea que no sea propiamente de mi departamento pero que me guste;1
Haría una lista de propuestas que creyera útil aplicar para amenizar el puesto o enriquecerlo.;1
Colaborar en proyectos de diferentes procesos relacionados con el mío ;1
Hablaría con mi director de proyectos solicitando trabajo más gratificante;1
Involucrarme/empezar nuevas iniciativas;1
preguntarle a mis companeros de trabajo que me den ideas de tareas que hacer;1
hablar con mis superiores para reajustar mis tareas;1
Conectar fuera del trabajo con mis colegas.;1
investigar nuevos proveedores para conseguir reducir costes;1
También he encontrado gratificante conocer más a fondo todos los aspectos del trabajo. Me he esforzado por conocer lo que hacen otros departamentos y aprender lo básico de cada uno.;1
Tomarmelo como una oportunidad para invertir ese tiempo libre que me sobra en dicho trabajo para formarme y encontrar mejores oportunidades.;1
realizaría periodicamente tareas de equipo para cerciorarme que el trabajo de los integrantes de mi equipo sea el correcto;1
propondría también proyectos que me pudieran utilizar mis habilidades y todo lo que yo sé hacer;1
"Otra idea podría ser ayudar a mis compañeros de trabajo una vez haya acabado mis tareas sencillas, de esta manera aprenderia de otros aspectos";1
Plantearía incorporar una parte de previsión a futuro lo que me permitiría tener trabajo en momentos donde el pico de trabajo fuera menor;1
Colaborar con más departamentos para tener un mayor input visual de las tareas que se llevan a lo largo de la empresa.;1
"En mi caso personal en mi puesto , buscar colaborar más con compañeros y ayudarlos más en sus tareas en detrimento de las mías personales";1
Documentar diseños;1
Intentar mejorar el producto final de mi trabajo dia a dia hasta que considere que ya no puede mejorarse mas y entonces buscar otras cosas que hacer extras.;1
Pensar si el trabajo era gratificante antes y que pudo haber cambiado ;1
Confiar en que la empresa cambiará y dar un margen de x meses;1
"Mantener mejores relaciones interdepartamentales, abandonando mi zona de confort para aprender de otras áreas.";1
Intentaria hablar con mis compañeros para echarles una mano;1
Trabajar en otros lugares;1
Ofrecerme para ayudar al resto de compañeros;1
Se lo comentaría a un compañero de trabajo y le pediría si le importaría delegar en mi parte de su trabajo ;1
Hacer repetidamente bien mi trabajo para que se valore que estoy preparado para más responsabilidad.;1
Tener la iniciativa de preguntar qué cosas hacen falta;1
"De manera autodidacta aprendería algo más sobre mi rol, me gusta aprender y mejorar eso me hace sentir que es más gratificante. ";1
haría que mi trabajo fuese excelente en su ejecución;1
Compartir las tareas con algún compañero que realice proyectos diferentes;1
Hablar con mi jefe inmediato para pedirle proyectos más retadores.;1
Buscaría nuevas tareas adyacentes a mi trabajo actual para ampliar mis aptitudes;1
Aprender nuevas tecnologías que puedan aplicarse a mi trabajo;1
Usaría el tiempo libre para hacer otras cosas;1
"Preguntar a mis superiores si hay mas tareas las cuales poder añadir a mi trabajo, haciendoles entender que puedo abarcar mas responsabilidades";1
Ayudar a formar a los compañeros en el uso de las tecnologías disponibles;1
Buscar otro trabajo;1
Crear un mayor número de actividades prácticas;1
Hablar con la persona encargada de mi departamento para ver cual es el problema.;1
Buscar herramientas de productividad;1
Crear mi propio material para mejorar el trabajo;1
Organizaría más salidas al entorno con el alumnado.;1
Hablar con mi superior para pedir más trabajo;1
"Empezar el trabajo con una menta positiva, para que asi el dia no vaya empezando con mal actitud.";1
"Hablar con mi supervisor, y pedirle amablemente una solución a aquella situación ";1
Comentar con mis compañeros de trabajo la situación;1
Ayudar a mis compañeros que esten retrasados von sus tareas;1
Hablarlo con mi superior inmediato y plantear lo que está pasando y podamos darle una solución ;1
Verificar si algún área relacionada esta sobrecargada y yo puedo asumir alguna de sus funciones ;1
Contactar con compañeros de trabajo y preguntarles si necesitan ayuda con sus tareas;1
Pediría a mi superior un incremento en la responsabilidad de los proyectos para motivarme;1
Cambiar de estilo ;1
Fomentar la colaboración con otros departamentos ;1
Tipos de proposiciones en cuanto a los diferentes eventos del año;1
Trabajar un mayor número de horas independiente de las que se me haya asignado;1
Hacer una encuesta con clientes frecuentes para tener una mejor idea de qué los hace volver y qué les gustaría ver.;1
Enumerar proyectos que he identificado como posibles mejoras y que creo que puedo acometer;1
Desobedecer órdenes directas del jefe.;1
Hablar con tus compañeros o empleados para cargaros de energía mental para no decaer en la rutina del trabajo.;1
Documentar las tareas ejecutadas cuando sucedan;1
Hacer tareas extra;1
Probar herramientas o programas nuevos con intención de hacer una demostración de la mejora de rendimiento.;1
Escribir algún reportaje de investigación.;1
Estudiar nuevas metodologías sobre gestión de riesgos ;1
Buscar un trabajo diferente ;1
Hablar con los colegas para saber que dificultades tienen;1
Buscar algun entrenamiento para poder proponer nuevas ideas;1
"Buscaría oportunidades para mejorar mis habilidades/conocimientos fuera del trabajo (por ej: cursos, diplomas, etc.) para ver si ello ayuda con el problema.";1
Promover que se exija más de los empleados por parte de la empresa.;1
Hacer pruebas con varios sistemas de fabricación ;1
Incentivar a través de mejores calificaciones a los que obtengan un resultado a través de estartegias diferentes o innovadoras;1
preguntarle a mis colegas si puedo ayudarles con algo de su trabajo;1
"Quizás no pediría más trabajo, pero si pediría poder realizar algún estudio o diplomado para mejorar mis habilidades en el trabajo";1
Mejorar aún más el trabajo ;1
Hablar con mis compañeros de trabajo y ver si los puedo apoyar en algun proyecto en el que se necesite más ayuda;1
Buscar otra alternativa de trabajo.;1
Me exigo mas dia a dia ;1
"Intentaría abarcar más trabajo, ya que me dejan tener iniciativa";1
"Soy Autodidacta, busco educarme constantemente.";1
Haría cosas complementarias que me ayuden a mi formación personal;1
Poder gestionar mi tiempo de manera que yo elija los horarios en los que rindo más y puedo conciliar mejor mi vida laboral y familiar.;1
Buscar otro puesto que se adapte a mis necesidades;1
"mantenerme ocupada en mi lugar de trabajo. aunque no haya como tal tareas para mí, puedo buscar otras cosas que mejorar, organizar o incluso limpiar.";1
Proponerme aprender como puedo hacer partes de mi trabajo diferente y más eficientemente. ;1
"Incluir en la medida de lo posible, nuevas herramientas para la automatización y validación de recogida de datos.";1
"He realizado un planning mensual entre el personal de operarios de descarga de mercancía para ver quién tiene que encargarse de determinadas tareas, para que así no haya disputas. ";1
"Si en mi trabajo hay algun puesto que me llame la atencion que sea de otra area, acercarme en mis tiempos libres para poder aprender de ese puesto y si en un futuro se abre una vacante poder moverme y hacer que mi trabajo sea mas siginificativo.";1
Buscar un nuevo trabajo;1
"Me he buscado como mejorar mi trabajo, haciendo carpetas y subcarpetas en el ordenador para que todo sea más fácil de buscar.";1
Tomar cursos que me permitan involucrarme en otras tareas.;1
Tomaría alguna tarea pendiente y buscaría como involucrarme con otras áreas para involucrarme más en otras tareas pendientes y así apoyar en diferentes cosas.;1
Analizar Pasos de Actividades Que Son Forzosos y Pueda Adelantar Para Reaizar Más Rápido El Proceso Completo Cuando Me Lo Soliciten.;1
Tratar de aprender nuevas habilidades con herramientas de aprendizaje que quizás ofrezcan en la empresa;1
Adelantar trabajos;1
Ofrecer ayuda a mi supervisor en sus tareas;1
Desarollar nuevas habilidades para poder aplicarlas;1
Plantear estrategias de crecimiento;1
Pedir por otro trabajo;1
Ayudar a compañeros de mi departamento con su parte de trabajo para sentirme más gratificado.;1
"adaptarlo para que sea mas entendible, hacer nuevos papeles de trabajo que sean de mas facil comprension";1
Hablar con mis compañeros para ver si ellos necesitan ayuda con su trabajo ;1
"Asesorarme con personas que estén en un puesto o trabajo similar al mío, para ver si hay algo que ellos estén haciendo que yo mismo pudiera aplicar en mi labor";1
Avanzar en trabajos que no se entregan hasta después ;1
Solicitar un ascenso de puesto de trabajo;1
aplicar un sistema de puntos por objetivos conseguidos para obtener recompensas;1
Crearia nuevas estrategias para resolver problemas imprevistos en mi trabajo.;1
buscar cursos de formacion para mejorar mi productividad;1
Tratar de mejorar los procesos en los que estoy involucrado en mi empresa;1
buscar nuevas formas de perfeccionar las tareas. ;1
buscar oportunidades de capacitacion en mi empresa;1
Formarme en determinados ámbitos para adquirir nuevas competencias.;1
Buscar nuevas formas de generar valor en mi trabajo;1
Tratar de explorar nuevas metodologías en el trabajo;1
Proponerle a mi jefe cambiar de equipo ;1
Realizar con mayor rapidez las tareas;1
"Intentaría que todo lo que tengo entre mis tareas este año día, actualizado";1
"aprovechar todo el tiempo libre que me dá mi actual trabajo , para opositar o formarme para otro trabajo";1
"En el caso de que el problema fuera del entorno de trabajo, intentaría ver los causantes de mi disconformidad e intentar mejorar lo que esté a mi alcance, y de ser posible, pedir colaboración y ayuda para lo que esté fuera de mi alcance. Sería interesante que las mejoras sean duraderas en el tiempo, y que si son beneficiosas para la empresa, se mantengan como una parte de la misma.";1
Solicitar directamente más responsabilidad a algún supervisor. ;1
preguntarle a mi jefe si hay algún proyecto fuera de mi departamento en el que pueda empezar a colaborar;1
Hablaría con otros compañeros para ver si les ocurre lo mismo y si podemos hacer algo en conjunto.;1
Innovar en mi proceso encontrando nuevas formas de mejorar;1
Buscaría otro trabajo fuera de mi organización actual;1
Buscar formas de vender más cosas a los clientes;1
preguntarle a mi jefe si me puede  cambiar de puesto a uno mas significativo;1
coordinar con mi equipo un enfoque distinto de las tareas;1
Discutir con el encargado posibles cambios y mejoras.;1
realizar encuestas a los clientes para mejorar posibles errores;1
También ayuda a que el trabajo resulte más gratificante pensar en que el dinero que recibes a cambio es necesario para mantener y cuidar de tu familia.;1
"Hablar con los compañeros y escuchar sus opiniones para saber si realmente es solamente algo individual o algo generalizado dentro de la empresa, y de esta forma, poder encontrar alguna solución entre todos.";1
propondría a mi lider gerencial la manera de atraer nuevas actividades que a otros equipos les cueste trabajo realizar;1
"buscaría oportunidades de formación, me ayudaría adquirir conocimientos y también habilidades y ofrecer ayuda a otros departamentos";1
Una vez realizadas mis tareas podria enfocarme en expandir mi conocimiento en el area de la que trabajo con cursos por ejemplo;1
Pediría que me facilitaran más tareas desde mis superiores jerárquicos;1
"Evaluar la posibilidad de encontrar otro trabajo, mientras sigo en el mío. En este nuevo trabajo buscaría que la experiencia fuera más significativa o que tenga más responsabilidad laboral que me exija un mayor trabajo de mi parte.";1
Plantear esto a tu jefe y valorar posibilidades. Ser sincero.;1
Estudiar nuevas tecnologias;1
Aprovechar que el trabajo ya me es facil y ya me resulta facil para mejorar otras abilidades no relacionadas con el trabajo.;1
Preguntarle a compañeros si ellos se sienten igual o que podrían hacer para cambiarlo ;1
"Desglosar esa meta en objetivos, y los objetivos en tareas";1
"Trabajar en el desarrollo de habilidades sociales o blandas, con el fin de superar problemáticas propias a las dinámicas interpersonales.";1
Buscaría colaborar en proyecto alineados con mi departamento para trabajar juntos;1
Pedir más responsabilidad a mi superior;1
Analizar tareas no urgentes pendientes para solucionarlas;1
Me obligaría a mí mismo a cumplir las metas en plazos más cortos de tiempo de lo que es necesario ;1
Ayudar a mis compañeros en su tarea para hacer ver mi maestría;1
Sugerir actividades que se podrían hacer o implementar ;1
"Analizaría mi entorno de trabajo, cómo se organiza y vería maneras de mejorar la interacción entre los compañeros y el feedback entre departamentos ";1
Buscaría nuevos retos dentro de mi puesto;1
"Formarme en nuevas tecnoogías, técnicas o herramientas de trabajo";1
Mirar en la misma empresa si hay puestos disponibles en otras áreas que me parezcan más interesantes.;1
"Buscaría alguna tarea nueva que fuera un desafío. Por ejemplo, algo para lo que esté formada pero que no haya realizado nunca";1
Proponer nuevos proyectos que beneficien a la empresa;1
"Dependiendo de dónde trabaje, hablaría con un superior para ver si podemos cambiar alguna de mis responsabilidades ";1
Buscar un ambito del trabajo el cual yo vea que pueda expandir o aportar mas. ;1
Mejorar el uso que le damos a las tecnologías existentes;1
Intentar aprender de los compañeros para poder abordar otras tareas;1
Realizar actividades complementarias;1
Sugerir a la dirección un cambio de perspectiva de las cosas que estan fallando.;1
Cursos de gestión del tiempo;1
Reducir los tiempos de descanso o utilizarlos para hacer algo productivo;1
"Realizaría más proyectos para promover el aprendizaje significativo y salir de la rutina, de modo que fuese más gratificante.";1
Hablar con mis compañeros por si necesitan ayuda;1
Empezar a hacer proyectos exigentes los cuales son divertidos y dificiles para que asi obtengas mas experiencias.;1
"Aprender de mis compañeros de trabajo,. Analizar su desempeño, y observar sus su cantidad y calidad de trabajo difiere de la mia";1
Comentar con mi superior la situación;1
Proponer nuevos proyectos a mi superior que yo mismo haya pensado;1
Tener una junta con mi equipo de trabajo para ver las actividades que hacemos y hacer una reestructura y que hay un trabajo más equitativo entre todos;1
Pedir a mi jefe me asigne más trabajo ;1
"Si es más largo plazo, hacer una reunión con el departamento con ideas en las que podría participar";1
Desarrollaría 2 respuestas para cada proyecto: una la solicitada y otra mejorada;1
Ser más proactivo ;1
Eliminar reuniones innecesarias;1
Clases más cercanas a los alumnos en horarios libres para mayor ayuda;1
Apoyar a mis compañeros de trabajo con sus dudas ;1
Crear nuevos materiales y dinámicas que llamen la atención de los consumidores.;1
Enumerar retos nuevos que he asumido y logrado en el pasado;1
Ponerme “enfermo” y no ir a trabajar.;1
"Buscar nuevos incentivos,nuevas metas que cumplir.";1
Buscar la automatizacion de procesos de trabajo;1
Cambiar de trabajo;1
Llevar mis propias herramientas al trabajo para adaptarlo a mis necesidades.;1
Proponer temas originales que reten mi creatividad.;1
Analizar tendencias en el mediano plazo sobre nuevas formas de evaluar proyectos ;1
Investigar recursos educativos para ganar la experiencia que realmente quiero;1
Realizar una encuesta relacionada a los aspectos mas dificiles del trabajo en la empresa;1
Presentar algunos ejemplos de como algunos cambios en otras empresas ayudaron a la retencion de talentos;1
"Es importante igual mantener una vía B de búsqueda de propósito, como por ejemplo: voluntariado, o comprometerse con causas que realmente hagan sentido. Eso puede ayudar a ""liberar"" la válvula del propósito.";1
Analizar los puntos débiles y fuertes de la empresa e implementar estrategias que hagan que se mejore la situación para que el trabajo.;1
Ver que proceso da mayor calidad y es más productivo ;1
Buscar retos dentro y fuera de mi contexto que me oermitan tener una mayor exigencia en mis resultados.;1
investigar sobre mi ambito de trabajo para ver si puedo innovar de alguna forma;1
Buscaría una actividad relacionada con mejorar las calidad del trabajo en temas de medio ambiente;1
Buscar otro trabajo ;1
Buscar otro trabajo que me permita aprender cosas nuevas.;1
Hacer un segundo trabajo para mantenerme entretenido.;1
Hago listas de tareas a completar;1
"Intentaría colaborar a los compañeros, cuando ellos tengan mucho trabajo";1
Utilizo metodos de productividad de alto rendimiento.;1
"Al haber estado trabajando desde casa, aprovechar ese tiempo para disfrutarlo en hobbies y actividades que me generen placer";1
Poder teletrabajar y no estar sujeto a horario estricto.;1
Hablar con mi jefe para comentarle que necesito otro puesto que me haga sentir util;1
"ofrecer mi apoyo en otras áreas de mi trabajo. si bien mi área es poco exigente, puedo buscar otras que, al ser desconocidas, serán un buen desafío.";1
Aprender de otros compañeros de trabajo. ;1
Intentar interesarme por otras áreas de mi compañía que pudiese también abarcar o cambiarme.;1
He organizado el calendario de recepción de mercancías para que los camioneros se adapten y vengan todos en la misma franja horaria.;1
"En el tiempo libre que tengas, si vez que algo falla en tus actividades diarias, es decir, un error persiste, encontrar la solucion, ya sea implementando estrategias o procedimientos establecidos para no concurrir en el error nuevamente y asi hacerse destacar por el buen trabajo que realices.";1
Aprender alguna nueva habilidad;1
He realizado mejoras ofimáticas para que sea más fácil compartir los archivos y que todo se economice.;1
Identificar algún compañero que tenga demasiadas tareas y tomar algunas.;1
Trataría de ofrecer mi ayuda en otros departamentos o con otros supervisores.;1
Establecer Controles Que Me Permitan Mejorar El % Error y Obtener Información Adicional a la del Sistema Para Toma de Decisiones.;1
"Tratar de implementar mejoras, identificando oportunidades de crecimiento ";1
Hacer algún cursillo de lo mío si tuviera tiempo libre;1
Hacer una presentación exponiendo las tareas que creo puedo ejecutar con éxito;1
Coordinar con el equipo para cambiar de rumbo los proyectos hacia algo que nos identifique más;1
Solicitar un ascenso;1
investigar la posibilidad de hacer cursillos en la empresa para subir nivel en el trabajo;1
Hacer trabajo de largo plazo y tenerlo listo en un corto plazo.;1
apoyarme mas en herramientas de trabajo como la computadora en lugar de apoyarme en hojas de papel;1
Hablar con mi jefe para ver como podemos mejorar la situación.;1
"Asesorarme con algún superior directo y pedir retroalimentación en cuanto a mi trabajo, para saber si existe alguna desconexión entre lo que me atribuyo, y lo que percibe alguien ajeno.";1
Enfocarme en lo que me gusta de mi trabajo ;1
Cambiar el metodo utilizado en tu trabajo ;1
intentar hacer algun curso para mejorar a  nivel personal algun área que pueda aplicar en mi trabajo;1
Ayudaría a mis compañeros de trabajo en tareas donde tengan dificultades.;1
repasar los datos constantemente para evitar errores futuros;1
Ver que posibilidades hay de ascender y tener mayores responsabilidades;1
"Cambiar el ritmo de desarrollo de las tareas, volviéndolas más lentas pero más fiables.";1
buscar cursos para ver en mi tiempo libre para mejorar en mi carrera;1
Ver como trabajan otras personas en puestos similares.;1
Buscar ventajas competitivas ;1
Cambiar los horarios de trabajo;1
Preguntarle a mi jefe cambiar de puesto ;1
incluir tareas extralaborales;1
Hablaría con los compañeros a ver si puedo ayudarles con sus tareas;1
"si es un trabajo sedentario , en una oficina , y no me controlan el ordenador , dedicaria parta de mi tiempo al estudio del mercado de valores (bolsa)";1
"Si el problema fuera personal, intentaría hacer retrospección para analizar si es una actitud temporal propia o del entorno. Vería si puedo cambiar el enfoque de mi trabajo o generar nuevas rutinas que me ayuden a salir de esa situación";1
Explorar qué nuevos servicios puede ofrecer mi servicio y proponerlos a supervisores para que me lo autoricen;1
"identificaría alguna tarea que pueda beneficiarse de algún tipo de optimización que ahorre tiempo en el futuro (plantillas, hojas de excel, etc)";1
Hablaría con mi superior directo para ver si podemos hacer algo o pueden variarse un poco mis tareas.;1
Dar coaching a mis colegas en el mismo proceso o diferentes;1
comenzaría un plan de formación para obtener otro tipo de trabajos más gratificantes;1
Ser más perfeccionista ;1
"intentar mejorar mi trabajo, haciendo un esfuerzo para que sea mas eficiente por ejemplo";1
adaptar las herramientas de trabajo para hacerlo más estimulante;1
Emprender nuevas rutinas que sean mas motivadoras.;1
investigar novedades en nuestro campo vía internet;1
También hace que tu trabajo sea más significativo el ayudar a tus compañeros. Se siente uno bien cuando comparte información que hace la vida de los demás más fácil.;1
